Date,ret_real,vol_garch,vol_annual,var_95,var_99,exceed_95,exceed_99
2023-06-21,0.8344622172603899,1.3324134482788748,21.15140776598355,-2.5111958553617626,-3.985947165680515,0,0
2023-06-22,-0.57696264109653,1.3346111692327502,21.18629550455397,-2.515363538272059,-3.992547345696443,0,0
2023-06-23,-2.1444705405699103,1.3367956483947436,21.220973036194994,-2.5195061099007656,-3.9991077580566996,0,0
2023-06-26,-0.51366638434704,1.3389669927967034,21.255442059984542,-2.5236237732194224,-4.005628724198575,0,0
2023-06-27,-0.13213204804728998,1.3411253082041577,21.28970425489832,-2.5277167287981617,-4.012110561756354,0,0
2023-06-28,-1.62627172420446,1.3432706991376606,21.32376128014869,-2.5317851748461906,-4.018553584625427,0,0
2023-06-29,-1.1624889717818399,1.3454032688936681,21.35761477551605,-2.5358293072513782,-4.024958103024978,0,0
2023-06-30,1.7119762454237402,1.3475231195649517,21.39126636167291,-2.5398493196189675,-4.031324423559295,0,0
2023-07-03,1.01064974350225,1.3496303520605675,21.42471764050087,-2.5438454033094433,-4.037652849277743,0,0
2023-07-05,-0.67707020102795,1.3517250661253866,21.457970195400673,-2.5478177474755714,-4.043943679733412,0,0
2023-07-06,-0.8965057989726599,1.3538073603592062,21.491025591595577,-2.551766539098637,-4.0501972110405156,0,0
2023-07-07,1.25552421009772,1.3558773322354443,21.52388537642812,-2.5556919630238983,-4.0564137359305334,0,0
2023-07-10,0.11939115667481,1.3579350781194355,21.556551079650564,-2.5595942019952838,-4.062593543807155,0,0
2023-07-11,-0.47840956779988,1.3599806932863365,21.589024213709134,-2.563473436689344,-4.068736920800058,0,0
2023-07-12,2.33043323664482,1.3620142719386488,21.621306274022185,-2.567329845748483,-4.074844149817528,0,0
2023-07-13,2.25191512031186,1.3640359072233736,21.653398739252516,-2.571163605813492,-4.080915510597979,0,0
2023-07-14,-0.19105072686509,1.3660456912488037,21.685303071573944,-2.574974891555388,-4.0869512797603855,0,0
2023-07-17,-2.32148456783246,1.3680437151009663,21.717020716932332,-2.578763875706601,-4.092951730853658,0,0
2023-07-18,-0.41841150008894,1.3700300688597213,21.748553105301117,-2.582530729091499,-4.098917134404996,0,0
2023-07-19,-0.43332734717025,1.3720048416145267,21.779901650931603,-2.5862756206562847,-4.104847757967228,0,0
2023-07-20,0.47263119729213005,1.3739681214798802,21.811067752598074,-2.5899987174982813,-4.110743866165191,0,0
2023-07-21,-0.38055661640326,1.3759199956104422,21.84205279383788,-2.5937001848946073,-4.116605720741144,0,0
2023-07-24,0.98123748270901,1.377860550215851,21.872858143186598,-2.597380186330275,-4.122433580599262,0,0
2023-07-25,1.58866327400971,1.3797898705752367,21.903485154408447,-2.601038883525713,-4.128227701849226,0,0
2023-07-26,-0.29515277676448,1.3817080410514426,21.93393516672205,-2.6046764364637336,-4.133988337848929,0,0
2023-07-27,-0.69641627242174,1.3836151451049585,21.964209505021607,-2.608293003415957,-4.139715739246324,0,0
2023-07-28,1.37525298050716,1.3855112653075776,21.9943094800937,-2.611888740968711,-4.145410154020436,0,0
2023-07-31,1.9592326557728499,1.3873964833557786,22.024236388829724,-2.6154638040484044,-4.151071827521552,0,0
2023-08-01,-2.56098763034433,1.3892708800838445,22.053991514434134,-2.6190183459464103,-4.1567010025106175,0,0
2023-08-02,-1.7096643101558,1.3911345354767213,22.083576126628593,-2.6225525183434466,-4.162297919197857,0,0
2023-08-03,1.25917993713074,1.3929875286826243,22.112991481852063,-2.6260664713334836,-4.167862815280631,0,0
2023-08-04,-0.8030064930524,1.394829938025399,22.14223882345705,-2.629560353447185,-4.173395925980557,0,0
2023-08-07,-0.8357339027301199,1.3966618410166394,22.171319381901952,-2.6330343116748893,-4.178897484079906,0,0
2023-08-08,-1.71939319310105,1.398483314367573,22.20023437493976,-2.636488491489146,-4.184367719957295,0,0
2023-08-09,0.51892918277762,1.400294434000717,22.22898500780308,-2.6399230368668234,-4.189806861622688,0,0
2023-08-10,-0.43891794908603005,1.4020952750613098,22.25757247338557,-2.643338090310782,-4.195215134751734,0,0
2023-08-11,-0.9778385518049699,1.4038859119285239,22.285997952420004,-2.6467337928711436,-4.200592762719438,0,0
2023-08-14,0.26885324997724,1.4056664182264673,22.314262613652858,-2.65011028416615,-4.205939966633201,0,0
2023-08-15,-1.70597054908787,1.4074368668349748,22.342367614015647,-2.65346770240263,-4.211256965365225,0,0
2023-08-16,-0.2734854846346,1.4091973299001976,22.37031409879301,-2.656806184396078,-4.2165439755843215,0,0
2023-08-17,0.92681378667437,1.4109478788449927,22.398103201787656,-2.66012586559036,-4.22180121178711,0,0
2023-08-18,0.36563045923539,1.4126885843791197,22.42573604548222,-2.6634268800770475,-4.22702888632864,0,0
2023-08-21,0.35083052685986,1.4144195165092468,22.453213741198105,-2.6667093606143935,-4.23222720945244,0,0
2023-08-22,1.03183686156447,1.4161407445487735,22.480537389251417,-2.66997343864596,-4.237396389320024,0,0
2023-08-23,1.4032524141701201,1.4178523371274696,22.50770807910598,-2.6732192443188976,-4.242536632039828,0,0
2023-08-24,-0.9510047638679899,1.4195543622009414,22.534726889523597,-2.6764469065018948,-4.247648141695651,0,0
2023-08-25,-0.19926764025285001,1.42124688705992,22.56159488871151,-2.6796565528027947,-4.252731120374537,0,0
2023-08-28,-0.15970304193956,1.4229299783393858,22.58831313446724,-2.6828483095858977,-4.25778576819419,0,0
2023-08-29,1.03353337349805,1.4246037020275246,22.614882674320757,-2.686022301988943,-4.262812283329862,0,0
2023-08-30,-0.21113486150725003,1.426268123474523,22.641304545674114,-2.6891786539397917,-4.267810862040771,0,0
2023-08-31,-0.3307987794226,1.4279233074012065,22.667579775938574,-2.692317488172806,-4.2727816986960425,0,0
2023-09-01,1.0547220161808302,1.4295693179075244,22.693709382669272,-2.695438926244938,-4.27772498580019,0,0
2023-09-05,-0.03934915141578,1.431206218480881,22.719694373697514,-2.6985430885515322,-4.2826409140181365,0,0
2023-09-06,-1.65358614550924,1.4328340720043213,22.745535747260696,-2.7016300943418465,-4.287529672199799,0,0
2023-09-07,-0.6020497844491599,1.4344529407645727,22.771234492129956,-2.704700061734301,-4.292391447404235,0,0
2023-09-08,-1.2286670311471,1.4360628864599436,22.796791587735576,-2.7077531077314605,-4.297226424923368,0,0
2023-09-11,2.40263755923222,1.437663970208086,22.82220800429021,-2.710789348234751,-4.302034788305299,0,0
2023-09-12,-0.47859403472573997,1.4392562525536214,22.84748470290992,-2.7138088980589234,-4.306816719377205,0,0
2023-09-13,0.10655164645383,1.4408397934756358,22.872622635733187,-2.716811870946267,-4.311572398267855,0,0
2023-09-14,0.7030601726295099,1.442414652395045,22.897622746037797,-2.7197983795805754,-4.316302003429721,0,0
2023-09-15,-0.50358053401891,1.4439808881818315,22.922485968355755,-2.7227685356008715,-4.321005711660718,0,0
