Date,real,naive,sarimax,prophet,lstm
2023-06-21,3.91100001335144,3.878499984741211,3.8787751284804526,4.381598867893934,3.8775024857863234
2023-06-22,3.888499975204468,3.878499984741211,3.8787625112224853,4.353501291946767,3.8950752391942562
2023-06-23,3.805999994277954,3.878499984741211,3.8787630898116947,4.3103105703954805,3.893571454584674
2023-06-26,3.786499977111816,3.878499984741211,3.8787630632793473,4.330782686915949,3.8376077581467034
2023-06-27,3.7815001010894775,3.878499984741211,3.8787630644960402,4.358223428479096,3.7984937784482615
2023-06-28,3.7204999923706055,3.878499984741211,3.878763064440246,4.3163048764103,3.7907477406957075
2023-06-29,3.677500009536743,3.878499984741211,3.8787630644428046,4.2827161575825965,3.7537747833868313
2023-06-30,3.740999937057495,3.878499984741211,3.8787630644426874,4.328392022469557,3.7027485825712465
2023-07-03,3.7790000438690186,3.878499984741211,3.8787630644426927,4.330707204038623,3.721450765336471
2023-07-05,3.753499984741211,3.878499984741211,3.8787630644426923,4.293354582628628,3.7636420944241995
2023-07-06,3.7200000286102295,3.878499984741211,3.8787630644426923,4.321380756249983,3.763149683412394
2023-07-07,3.766999959945679,3.878499984741211,3.8787630644426923,4.405657609216124,3.7398000974301344
2023-07-10,3.7715001106262207,3.878499984741211,3.8787630644426923,4.4379161972014876,3.762127118655258
2023-07-11,3.753499984741211,3.878499984741211,3.8787630644426923,4.464205376518546,3.782920512179175
2023-07-12,3.8420000076293945,3.878499984741211,3.8787630644426923,4.570746468982563,3.778202889923023
2023-07-13,3.929500102996826,3.878499984741211,3.8787630644426923,4.636383520207778,3.828389973221164
2023-07-14,3.921999931335449,3.878499984741211,3.8787630644426923,4.624494078296756,3.9090097686379583
2023-07-17,3.8320000171661377,3.878499984741211,3.8787630644426923,4.6382812923707295,3.9307792068055964
2023-07-18,3.815999984741211,3.878499984741211,3.8787630644426923,4.633302094763335,3.8752265111809554
2023-07-19,3.799499988555908,3.878499984741211,3.8787630644426923,4.594452146986988,3.8258140316580698
2023-07-20,3.817500114440918,3.878499984741211,3.8787630644426923,4.544034095743043,3.79825700862574
2023-07-21,3.802999973297119,3.878499984741211,3.8787630644426923,4.520429221068557,3.7987217708908934
2023-07-24,3.8405001163482666,3.878499984741211,3.8787630644426923,4.486366761850855,3.799422205806082
2023-07-25,3.901999950408936,3.878499984741211,3.8787630644426923,4.496051836415437,3.817155585265994
2023-07-26,3.890500068664551,3.878499984741211,3.8787630644426923,4.517634665112979,3.867272010656024
2023-07-27,3.8635001182556152,3.878499984741211,3.8787630644426923,4.4332618249742435,3.8938101993176706
2023-07-28,3.9170000553131104,3.878499984741211,3.8787630644426923,4.447585354787434,3.867249408902808
2023-07-31,3.994499921798706,3.878499984741211,3.8787630644426923,4.427419916783547,3.8830605421669024
2023-08-01,3.8935000896453857,3.878499984741211,3.8787630644426923,4.384572975341611,3.9451003798334345
2023-08-02,3.827500104904175,3.878499984741211,3.8787630644426923,4.34733268675263,3.921942579601762
2023-08-03,3.875999927520752,3.878499984741211,3.8787630644426923,4.354326690555521,3.8544862208053705
2023-08-04,3.8450000286102295,3.878499984741211,3.8787630644426923,4.401573403201801,3.851950435755271
2023-08-07,3.812999963760376,3.878499984741211,3.8787630644426923,4.393523477605185,3.862022040309569
2023-08-08,3.747999906539917,3.878499984741211,3.8787630644426923,4.351883199617014,3.8438759045603494
2023-08-09,3.767499923706055,3.878499984741211,3.8787630644426923,4.3421204182311826,3.7847058312487154
2023-08-10,3.750999927520752,3.878499984741211,3.8787630644426923,4.327864885488833,3.7630834141942278
2023-08-11,3.714499950408936,3.878499984741211,3.8787630644426923,4.31163615804514,3.755826715370518
2023-08-14,3.724499940872192,3.878499984741211,3.8787630644426923,4.283352499604848,3.7343658021059984
2023-08-15,3.661499977111816,3.878499984741211,3.8787630644426923,4.282915774475831,3.7225435491327237
2023-08-16,3.65149998664856,3.878499984741211,3.8787630644426923,4.25569521067395,3.6900749237486825
2023-08-17,3.685499906539917,3.878499984741211,3.8787630644426923,4.263089996855193,3.6626688716504536
2023-08-18,3.6989998817443848,3.878499984741211,3.8787630644426923,4.261947914640348,3.6739019429986404
