,value
alpha,0.0418756353618422
beta,0.953732330994118
omega,0.013658665638234518
nu,6.956419576769042
persistencia,0.9956079663559603
vol_lp_diaria_%,1.7634831230573373
vol_lp_anual_%,27.994426709215375
ljungbox_p10,0.0020404065943673815
ljungbox_p20,0.016156138913088022
var95_exceedance_%,2.0804438280166435
var99_exceedance_%,0.6934812760055479
